Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,OAA,7.708383,8.079336,8.911691,10.47038
1,OIA,10.767276,7.955942,11.240651,9.148225
1,SAA,7.708383,8.079336,6.761859,9.663089
1,SIA,10.767276,7.955942,9.062191,8.891841
2,OAA,8.556326,4.212548,10.661866,8.123255
2,OIA,11.82831,5.138988,9.8763,10.410265
2,SAA,8.556326,4.212548,8.444171,8.284359
2,SIA,11.82831,5.138988,7.362744,10.157266
3,OAA,5.633476,13.989198,11.220239,14.612365
3,OIA,6.695878,12.470969,7.869002,12.978535
3,SAA,5.633476,13.989198,8.5177,13.122246
3,SIA,6.695878,12.470969,6.552576,11.952453
4,OAA,8.068462,12.638384,15.409879,10.094849
4,OIA,7.616958,15.15123,10.274666,14.176231
4,SAA,8.068462,12.638384,10.639556,10.177901
4,SIA,7.616958,15.15123,12.898496,13.571274
5,OAA,11.935482,7.797244,9.29712,8.233934
5,OIA,9.831746,9.617011,9.893381,14.305779
5,SAA,11.935482,7.797244,4.872862,7.141976
5,SIA,9.831746,9.617011,7.239609,13.126223
6,OAA,6.446486,20.389862,9.481455,5.938152
6,OIA,10.489145,17.041358,6.935097,10.576827
6,SAA,6.446486,20.389862,5.810895,5.916728
6,SIA,10.489145,17.041358,5.724538,4.374902
7,OAA,6.837935,9.558505,13.463684,19.563743
7,OIA,7.475013,13.506526,12.580177,17.919564
7,SAA,6.837935,9.558505,4.670064,20.064229
7,SIA,7.475013,13.506526,6.730078,16.203498
8,OAA,9.7543,10.716167,10.803389,9.305243
8,OIA,8.861477,11.247982,12.172678,10.83463
8,SAA,9.7543,10.716167,9.620589,10.296887
8,SIA,8.861477,11.247982,10.828399,11.960835
9,OAA,2.895341,9.956444,13.116101,13.746653
9,OIA,5.827924,10.829575,12.549241,14.180216
9,SAA,2.895341,9.956444,8.469824,13.286934
9,SIA,5.827924,10.829575,9.320909,14.736928
10,OAA,7.573139,10.538918,7.364211,8.668319
10,OIA,9.17406,12.179553,11.389517,9.135647
10,SAA,7.573139,10.538918,3.674632,7.763881
10,SIA,9.17406,12.179553,8.670404,8.855585
11,OAA,9.742691,8.394998,8.505491,10.14182
11,OIA,7.300659,7.984412,9.426466,11.975296
11,SAA,9.742691,8.394998,5.666024,10.523524
11,SIA,7.300659,7.984412,6.509508,11.882821
12,OAA,7.430128,13.940064,12.953693,8.030899
12,OIA,7.391146,13.552366,12.022693,7.061938
12,SAA,7.430128,13.940064,11.565579,6.753742
12,SIA,7.391146,13.552366,10.392045,6.623422
13,OAA,9.59683,8.38885,16.410921,8.936249
13,OIA,9.154718,7.830702,13.210743,6.568627
13,SAA,9.59683,8.38885,16.008769,8.842486
13,SIA,9.154718,7.830702,8.709863,6.119976
14,OAA,10.840126,9.333801,9.738239,8.033704
14,OIA,10.644733,8.799621,9.254164,7.768358
14,SAA,10.840126,9.333801,9.063568,7.913985
14,SIA,10.644733,8.799621,9.224396,7.747805
15,OAA,10.121543,11.541373,15.291354,9.062165
15,OIA,11.216052,14.762163,12.409168,8.364893
15,SAA,10.121543,11.541373,10.405836,9.141409
15,SIA,11.216052,14.762163,10.727043,9.375696
16,OAA,4.731985,9.538281,10.095497,10.837171
16,OIA,6.976335,9.0806,10.237752,12.400407
16,SAA,4.731985,9.538281,8.777783,12.203931
16,SIA,6.976335,9.0806,11.174255,11.74307
17,OAA,12.686628,15.155652,8.048772,11.561574
17,OIA,7.806602,13.305289,8.70894,11.358695
17,SAA,12.686628,15.155652,4.738332,11.136632
17,SIA,7.806602,13.305289,5.219874,10.860682
18,OAA,8.422622,13.211102,11.130974,9.37563
18,OIA,14.905628,11.696913,6.836424,10.689443
18,SAA,8.422622,13.211102,9.116999,9.003371
18,SIA,14.905628,11.696913,10.44648,9.280066
19,OAA,7.29886,14.609814,11.398359,9.642753
19,OIA,8.800428,14.319913,9.248433,9.268895
19,SAA,7.29886,14.609814,7.481235,9.134059
19,SIA,8.800428,14.319913,6.885715,8.902146
20,OAA,9.082783,11.179423,10.027461,8.492798
20,OIA,5.297463,12.510521,7.194958,9.114272
20,SAA,9.082783,11.179423,4.792784,9.436407
20,SIA,5.297463,12.510521,9.127034,9.221207
21,OAA,9.567499,14.795426,11.820344,6.401863
21,OIA,15.110944,16.657065,9.196996,4.908725
21,SAA,9.567499,14.795426,8.108033,5.907212
21,SIA,15.110944,16.657065,6.834602,4.854941
22,OAA,3.743093,12.977962,12.180138,4.589587
22,OIA,5.260334,11.724939,8.561073,2.829283
22,SAA,3.743093,12.977962,5.86007,4.263283
22,SIA,5.260334,11.724939,6.498733,3.120515
23,OAA,6.470546,10.3321,16.594134,10.7423
23,OIA,8.046449,10.629839,12.896621,17.250696
23,SAA,6.470546,10.3321,9.855972,10.294119
23,SIA,8.046449,10.629839,10.510206,15.319074
24,OAA,8.049544,9.388294,9.592608,8.422625
24,OIA,9.980612,9.717774,10.666399,8.712978
24,SAA,8.049544,9.388294,5.993918,8.278673
24,SIA,9.980612,9.717774,8.064271,9.055666
25,OAA,5.97323,14.453928,10.583637,13.642847
25,OIA,7.457505,12.987757,8.368945,10.798107
25,SAA,5.97323,14.453928,10.15705,11.808643
25,SIA,7.457505,12.987757,8.99105,9.219589
26,OAA,6.78285,11.770456,10.980768,11.956583
26,OIA,12.077214,11.228513,9.886658,9.585055
26,SAA,6.78285,11.770456,9.107145,8.824506
26,SIA,12.077214,11.228513,8.958522,5.658202
27,OAA,7.720004,14.378267,10.626385,6.967668
27,OIA,8.067239,12.603479,9.907915,10.669018
27,SAA,7.720004,14.378267,10.578697,6.889576
27,SIA,8.067239,12.603479,12.724729,8.82641
28,OAA,6.038718,11.890178,7.225193,14.649173
28,OIA,7.935411,12.968703,9.129485,14.793451
28,SAA,6.038718,11.890178,3.351716,13.460443
28,SIA,7.935411,12.968703,4.636787,13.404092
29,OAA,4.704832,12.804776,12.156954,13.465006
29,OIA,3.834216,11.600399,10.972699,17.002283
29,SAA,4.704832,12.804776,11.951891,14.117028
29,SIA,3.834216,11.600399,14.080197,15.485627
30,OAA,5.370522,8.879681,11.444014,17.738566
30,OIA,10.504654,9.648947,10.242332,17.048389
30,SAA,5.370522,8.879681,7.758742,16.362295
30,SIA,10.504654,9.648947,7.728235,16.648168
31,OAA,10.045566,9.084768,9.050246,9.632628
31,OIA,11.827248,8.341355,5.184989,10.118274
31,SAA,10.045566,9.084768,9.195204,10.45301
31,SIA,11.827248,8.341355,4.87636,9.887354
32,OAA,6.596277,9.686217,10.688662,8.123572
32,OIA,8.425006,8.60373,8.377204,8.925969
32,SAA,6.596277,9.686217,8.111026,8.057378
32,SIA,8.425006,8.60373,4.88187,9.04025
33,OAA,3.949412,11.757073,13.235179,9.419057
33,OIA,4.101769,12.911852,11.593976,10.269114
33,SAA,3.949412,11.757073,5.86722,9.398431
33,SIA,4.101769,12.911852,7.214335,9.942082
34,OAA,7.146648,7.858043,10.495141,10.623645
34,OIA,8.046388,8.741381,9.001445,9.037267
34,SAA,7.146648,7.858043,4.991946,10.425727
34,SIA,8.046388,8.741381,5.333181,7.454694
35,OAA,4.431139,16.010666,10.15299,10.277251
35,OIA,8.140784,15.964456,7.329108,8.888962
35,SAA,4.431139,16.010666,7.652557,10.946572
35,SIA,8.140784,15.964456,10.957342,9.272452
36,OAA,4.548249,11.213768,16.436464,9.630181
36,OIA,6.735189,15.012311,15.632809,9.234364
36,SAA,4.548249,11.213768,16.294838,10.22966
36,SIA,6.735189,15.012311,16.901607,9.164288
