id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
10,9,Object-Topicalized,tor,355.0,982.0,584.0,3867.0
10,14,Subject,sr,344.0,909.0,1129.0,374.0
10,2,Subject,sr,387.0,809.0,1055.0,467.0
10,13,Object-Subject-Inversion,orsi,359.0,826.0,3651.0,1389.0
10,16,Object-Subject-Inversion,orsi,444.0,1186.0,3134.0,1915.0
10,20,Subject,sr,409.0,1894.0,1811.0,308.0
10,7,Object-Subject-Inversion,orsi,349.0,900.0,414.0,4250.0
11,17,Subject,sr,448.0,839.0,1680.0,446.0
11,13,Object-Subject-Inversion,orsi,349.0,743.0,1649.0,2082.0
11,8,Subject,sr,362.0,932.0,817.0,728.0
11,10,Object-Subject-Inversion,orsi,443.0,682.0,344.0,349.0
11,7,Object-Subject-Inversion,orsi,418.0,856.0,969.0,1494.0
11,5,Subject,sr,414.0,1244.0,1094.0,549.0
11,2,Subject,sr,375.0,759.0,500.0,490.0
11,3,Object-Topicalized,tor,479.0,1099.0,653.0,1735.0
11,15,Object-Topicalized,tor,329.0,658.0,544.0,2564.0
11,1,Object-Subject-Inversion,orsi,465.0,844.0,679.0,1485.0
11,16,Object-Subject-Inversion,orsi,442.0,1113.0,2794.0,471.0
11,4,Object-Subject-Inversion,orsi,408.0,863.0,629.0,3092.0
11,12,Object-Topicalized,tor,347.0,874.0,536.0,550.0
11,20,Subject,sr,389.0,1004.0,1329.0,420.0
11,18,Object-Topicalized,tor,336.0,599.0,2549.0,485.0
11,11,Subject,sr,360.0,759.0,1280.0,442.0
11,6,Object-Topicalized,tor,340.0,567.0,2275.0,439.0
11,14,Subject,sr,379.0,859.0,2319.0,324.0
11,19,Object-Subject-Inversion,orsi,355.0,800.0,408.0,764.0
11,9,Object-Topicalized,tor,375.0,1192.0,1884.0,581.0
12,9,Object-Topicalized,tor,372.0,751.0,710.0,1403.0
12,10,Object-Subject-Inversion,orsi,390.0,1143.0,478.0,668.0
12,16,Object-Subject-Inversion,orsi,567.0,897.0,1221.0,775.0
12,3,Object-Topicalized,tor,391.0,592.0,2632.0,424.0
12,11,Subject,sr,355.0,821.0,355.0,1084.0
12,17,Subject,sr,495.0,814.0,330.0,669.0
12,8,Subject,sr,359.0,792.0,1057.0,805.0
12,15,Object-Topicalized,tor,420.0,747.0,884.0,413.0
12,4,Object-Subject-Inversion,orsi,286.0,960.0,320.0,1857.0
12,2,Subject,sr,883.0,989.0,985.0,809.0
12,1,Object-Subject-Inversion,orsi,362.0,1100.0,908.0,459.0
12,5,Subject,sr,365.0,1208.0,370.0,950.0
12,7,Object-Subject-Inversion,orsi,235.0,1528.0,500.0,395.0
12,12,Object-Topicalized,tor,258.0,565.0,461.0,319.0
12,6,Object-Topicalized,tor,388.0,644.0,1201.0,399.0
12,14,Subject,sr,423.0,969.0,1301.0,365.0
12,13,Object-Subject-Inversion,orsi,291.0,664.0,283.0,1121.0
12,20,Subject,sr,355.0,826.0,985.0,564.0
12,19,Object-Subject-Inversion,orsi,297.0,692.0,287.0,314.0
12,18,Object-Topicalized,tor,390.0,661.0,385.0,1336.0
13,19,Object-Subject-Inversion,orsi,249.0,472.0,219.0,256.0
13,17,Subject,sr,254.0,534.0,253.0,262.0
13,10,Object-Subject-Inversion,orsi,233.0,539.0,255.0,283.0
13,8,Subject,sr,286.0,514.0,253.0,286.0
13,9,Object-Topicalized,tor,253.0,483.0,245.0,250.0
13,6,Object-Topicalized,tor,254.0,518.0,249.0,250.0
13,16,Object-Subject-Inversion,orsi,261.0,759.0,263.0,260.0
13,14,Subject,sr,250.0,519.0,250.0,250.0
13,7,Object-Subject-Inversion,orsi,314.0,544.0,250.0,253.0
13,18,Object-Topicalized,tor,283.0,478.0,262.0,292.0
13,15,Object-Topicalized,tor,254.0,543.0,223.0,257.0
13,5,Subject,sr,257.0,524.0,287.0,284.0
13,20,Subject,sr,262.0,787.0,284.0,251.0
13,1,Object-Subject-Inversion,orsi,268.0,502.0,248.0,258.0
13,13,Object-Subject-Inversion,orsi,250.0,719.0,324.0,296.0
13,3,Object-Topicalized,tor,286.0,514.0,215.0,228.0
13,4,Object-Subject-Inversion,orsi,255.0,498.0,250.0,250.0
13,2,Subject,sr,319.0,509.0,239.0,251.0
13,11,Subject,sr,257.0,532.0,249.0,250.0
13,12,Object-Topicalized,tor,256.0,511.0,254.0,250.0
14,10,Object-Subject-Inversion,orsi,408.0,893.0,985.0,402.0
14,12,Object-Topicalized,tor,463.0,1067.0,791.0,493.0
14,11,Subject,sr,442.0,876.0,2203.0,493.0
14,14,Subject,sr,403.0,962.0,1331.0,495.0
