id,item,type,cond,region1_rrt,region2_rrt,region3_rrt,region4_rrt
50,1,Object-Topicalized,tor,320.0,754.0,378.0,387.0
50,5,Object-Subject-Inversion,orsi,330.0,795.0,674.0,396.0
50,2,Object-Subject-Inversion,orsi,332.0,815.0,389.0,393.0
50,16,Object-Topicalized,tor,469.0,796.0,391.0,574.0
50,8,Object-Subject-Inversion,orsi,495.0,817.0,711.0,884.0
50,4,Object-Topicalized,tor,298.0,784.0,326.0,543.0
50,6,Subject,sr,354.0,741.0,396.0,430.0
50,13,Object-Topicalized,tor,365.0,732.0,426.0,536.0
50,11,Object-Subject-Inversion,orsi,396.0,901.0,439.0,425.0
50,12,Subject,sr,461.0,746.0,352.0,394.0
50,20,Object-Subject-Inversion,orsi,355.0,814.0,403.0,406.0
51,18,Subject,sr,255.0,1528.0,751.0,743.0
51,7,Object-Topicalized,tor,605.0,655.0,786.0,519.0
51,15,Subject,sr,302.0,630.0,319.0,957.0
51,8,Object-Subject-Inversion,orsi,425.0,708.0,361.0,478.0
51,6,Subject,sr,365.0,658.0,290.0,353.0
51,20,Object-Subject-Inversion,orsi,747.0,800.0,513.0,1738.0
51,10,Object-Topicalized,tor,375.0,653.0,350.0,353.0
51,2,Object-Subject-Inversion,orsi,502.0,754.0,314.0,355.0
51,1,Object-Topicalized,tor,315.0,604.0,329.0,391.0
51,3,Subject,sr,405.0,838.0,320.0,340.0
51,13,Object-Topicalized,tor,1083.0,891.0,397.0,822.0
