item,condition,position,word,rt,surprisal,length,log_freq,length_lag1,log_freq_lag1,surprisal_lag1,length_lag2,log_freq_lag2,surprisal_lag2
10,sr,7,trabaja,573.0166666666667,10.132547,7,-9.716178454231134,8.0,-23.025850929940457,16.753337,2.0,-5.2030071867437115,4.082067
10,sr,8,para,439.53333333333336,3.140725,4,-4.78909302414902,7.0,-9.716178454231134,10.132547,8.0,-23.025850929940457,16.753337
10,sr,9,la,447.06666666666666,1.627242,2,-3.315937537711332,4.0,-4.78909302414902,3.140725,7.0,-9.716178454231134,10.132547
10,sr,10,ONU.,774.1833333333333,6.464016,4,-10.819778284410283,2.0,-3.315937537711332,1.627242,4.0,-4.78909302414902,3.140725
10,tor,1,El,397.1666666666667,8.230895,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
10,tor,2,biólogo,478.35,13.57946,7,-13.377255627033119,2.0,-3.568433301038069,8.230895,0.0,0.0,0.0
10,tor,3,al,403.3666666666667,6.939539,2,-5.2030071867437115,7.0,-13.377255627033119,13.57946,2.0,-3.568433301038069,8.230895
10,tor,4,que,389.1333333333333,3.113883,3,-3.40822199659912,2.0,-5.2030071867437115,6.939539,7.0,-13.377255627033119,13.57946
10,tor,5,el,390.55,3.611412,2,-3.568433301038069,3.0,-3.40822199659912,3.113883,2.0,-5.2030071867437115,6.939539
10,tor,6,quí­mico,542.7,14.517953,8,-23.025850929940457,2.0,-3.568433301038069,3.611412,3.0,-3.40822199659912,3.113883
10,tor,7,visitó,928.0333333333333,8.536026,6,-11.464135300800796,8.0,-23.025850929940457,14.517953,2.0,-3.568433301038069,3.611412
10,tor,8,trabaja,835.5833333333334,9.123528,7,-9.716178454231134,6.0,-11.464135300800796,8.536026,8.0,-23.025850929940457,14.517953
10,tor,9,para,500.8666666666667,2.893176,4,-4.78909302414902,7.0,-9.716178454231134,9.123528,6.0,-11.464135300800796,8.536026
10,tor,10,la,417.3333333333333,1.383081,2,-3.315937537711332,4.0,-4.78909302414902,2.893176,7.0,-9.716178454231134,9.123528
10,tor,11,ONU.,929.55,6.729924,4,-10.819778284410283,2.0,-3.315937537711332,1.383081,4.0,-4.78909302414902,2.893176
11,orsi,1,El,379.0,8.230893,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
11,orsi,2,taxista,509.328125,12.902165,7,-12.066310703155015,2.0,-3.568433301038069,8.230893,0.0,0.0,0.0
11,orsi,3,al,389.734375,5.721537,2,-5.2030071867437115,7.0,-12.066310703155015,12.902165,2.0,-3.568433301038069,8.230893
11,orsi,4,que,366.90625,0.654976,3,-3.40822199659912,2.0,-5.2030071867437115,5.721537,7.0,-12.066310703155015,12.902165
11,orsi,5,informó,454.140625,10.605695,7,-10.501324553291749,3.0,-3.40822199659912,0.654976,2.0,-5.2030071867437115,5.721537
11,orsi,6,el,466.53125,2.289897,2,-3.568433301038069,7.0,-10.501324553291749,10.605695,3.0,-3.40822199659912,0.654976
11,orsi,7,vecino,898.03125,7.942167,6,-10.362353437371407,2.0,-3.568433301038069,2.289897,7.0,-10.501324553291749,10.605695
11,orsi,8,conocía,657.953125,10.778292,7,-10.775761398993508,6.0,-10.362353437371407,7.942167,2.0,-3.568433301038069,2.289897
11,orsi,9,bien,486.859375,2.534973,4,-6.653113060608556,7.0,-10.775761398993508,10.778292,6.0,-10.362353437371407,7.942167
11,orsi,10,el,421.109375,1.180527,2,-3.568433301038069,4.0,-6.653113060608556,2.534973,7.0,-10.775761398993508,10.778292
11,orsi,11,barrio.,933.84375,1.654331,7,-9.5556515572646,2.0,-3.568433301038069,1.180527,4.0,-6.653113060608556,2.534973
11,sr,1,El,364.82142857142856,8.230893,2,-3.568433301038069,0.0,0.0,0.0,0.0,0.0,0.0
11,sr,2,taxista,470.375,12.902165,7,-12.066310703155015,2.0,-3.568433301038069,8.230893,0.0,0.0,0.0
