Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,OAA,7.151188,8.226787,8.271209,12.348581
1,OIA,7.640401,8.929851,11.940289,9.026672
1,SAA,7.151188,8.226787,7.302055,12.57419
1,SIA,7.640401,8.929851,10.245624,9.034938
2,OAA,7.599597,5.101185,10.621432,7.098993
2,OIA,12.445862,5.166128,9.11738,9.342646
2,SAA,7.599597,5.101185,8.697742,7.311791
2,SIA,12.445862,5.166128,7.956802,9.584517
3,OAA,5.591893,14.545768,10.239778,12.965242
3,OIA,6.609051,11.807875,8.766143,11.499503
3,SAA,5.591893,14.545768,9.030555,13.724063
3,SIA,6.609051,11.807875,7.474733,11.334966
4,OAA,8.391635,15.211979,15.01153,11.006612
4,OIA,9.065742,16.166702,10.995483,13.041435
4,SAA,8.391635,15.211979,11.160737,12.690765
4,SIA,9.065742,16.166702,12.415581,13.00837
5,OAA,11.464499,8.039627,8.055921,9.451311
5,OIA,11.106478,10.47859,6.985402,12.653344
5,SAA,11.464499,8.039627,4.764703,9.57573
5,SIA,11.106478,10.47859,5.223131,12.502364
6,OAA,6.495882,18.034488,10.244256,9.331535
6,OIA,8.762434,13.934458,6.548832,12.551083
6,SAA,6.495882,18.034488,8.854691,9.652391
6,SIA,8.762434,13.934458,9.341637,9.146607
7,OAA,6.440334,9.812219,10.926848,19.715522
7,OIA,6.643936,13.658727,13.350788,16.981037
7,SAA,6.440334,9.812219,5.532121,20.222089
7,SIA,6.643936,13.658727,7.747047,16.870985
8,OAA,9.743742,10.727838,10.817125,11.094516
8,OIA,10.563118,11.437308,9.715648,11.567339
8,SAA,9.743742,10.727838,11.356658,11.941452
8,SIA,10.563118,11.437308,10.742509,12.189664
9,OAA,3.250173,10.815202,12.478253,15.407866
9,OIA,5.301657,11.558369,11.130129,13.95396
9,SAA,3.250173,10.815202,9.462783,14.360161
9,SIA,5.301657,11.558369,10.389171,14.833406
10,OAA,8.141896,10.056469,6.765832,9.419583
10,OIA,9.216537,9.219213,10.110223,9.38119
10,SAA,8.141896,10.056469,4.824145,9.061168
10,SIA,9.216537,9.219213,8.595851,9.279544
11,OAA,9.55441,8.531028,9.846712,8.903327
11,OIA,8.336234,8.376831,9.846866,10.064773
11,SAA,9.55441,8.531028,6.829133,9.648033
11,SIA,8.336234,8.376831,9.481289,10.278166
12,OAA,8.363789,10.949201,13.516618,10.007298
12,OIA,10.666456,11.75294,12.448439,10.495774
12,SAA,8.363789,10.949201,13.208027,9.946433
12,SIA,10.666456,11.75294,9.246858,9.982796
13,OAA,9.112025,8.281442,15.953085,8.160683
13,OIA,8.697516,7.04163,14.227572,7.205792
13,SAA,9.112025,8.281442,19.184925,7.732892
13,SIA,8.697516,7.04163,11.055971,6.669544
14,OAA,9.458548,9.099034,11.27993,8.405421
14,OIA,11.36158,8.271924,10.770104,7.634387
14,SAA,9.458548,9.099034,7.629158,8.281642
14,SIA,11.36158,8.271924,9.959272,7.193394
15,OAA,11.668736,13.212395,13.090944,9.01643
15,OIA,12.628169,14.616019,14.298215,9.417967
15,SAA,11.668736,13.212395,9.368951,9.361184
15,SIA,12.628169,14.616019,14.026257,9.440807
16,OAA,5.809039,12.231719,11.245072,10.757419
16,OIA,6.351496,8.200992,10.418268,11.916959
16,SAA,5.809039,12.231719,9.407124,10.008765
16,SIA,6.351496,8.200992,11.481754,11.12675
17,OAA,12.945606,12.414135,8.081511,12.713896
17,OIA,10.636739,13.389729,7.907615,10.141653
17,SAA,12.945606,12.414135,3.769594,12.178081
17,SIA,10.636739,13.389729,5.449579,10.145311
18,OAA,7.648481,12.125639,9.58537,9.676685
18,OIA,14.044107,10.660066,8.38222,9.907635
18,SAA,7.648481,12.125639,8.590691,10.786711
18,SIA,14.044107,10.660066,11.470642,10.273936
19,OAA,8.972087,13.635391,12.611556,9.275667
19,OIA,8.285766,12.463756,11.631018,9.65306
19,SAA,8.972087,13.635391,9.521002,9.772503
19,SIA,8.285766,12.463756,8.04194,9.443331
20,OAA,8.145424,12.731363,13.016813,6.331951
