Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
20,OIA,6.653356,14.454531,5.225347,6.760156
20,SAA,8.145424,12.731363,7.271415,6.291093
20,SIA,6.653356,14.454531,10.513477,6.372715
21,OAA,8.785649,15.11621,10.444594,7.050059
21,OIA,14.404393,14.662339,7.755664,5.330642
21,SAA,8.785649,15.11621,7.912417,6.565998
21,SIA,14.404393,14.662339,9.696434,5.635537
22,OAA,5.245071,12.432611,8.301601,4.649739
22,OIA,7.165121,12.726788,7.686875,3.168343
22,SAA,5.245071,12.432611,6.580072,5.574345
22,SIA,7.165121,12.726788,6.725676,3.813187
23,OAA,8.663468,11.194464,14.237303,12.476063
23,OIA,7.92798,12.196718,12.286912,16.14258
23,SAA,8.663468,11.194464,10.509918,11.683594
23,SIA,7.92798,12.196718,10.201484,16.371362
24,OAA,6.861593,9.96309,9.409803,8.032811
24,OIA,8.934337,9.920188,9.068012,8.016475
24,SAA,6.861593,9.96309,5.046333,8.386771
24,SIA,8.934337,9.920188,6.592381,8.449022
25,OAA,5.687434,12.179762,10.185189,13.77679
25,OIA,6.636818,11.677392,4.642708,13.397135
25,SAA,5.687434,12.179762,8.826453,14.065964
25,SIA,6.636818,11.677392,8.412968,10.419026
26,OAA,8.047305,11.40349,10.931097,10.815007
26,OIA,11.498495,10.650361,10.785528,9.37437
26,SAA,8.047305,11.40349,8.93952,8.910357
26,SIA,11.498495,10.650361,9.380244,5.87783
27,OAA,6.806915,12.866851,11.025323,6.607416
27,OIA,8.760469,11.400204,11.437858,9.375238
27,SAA,6.806915,12.866851,11.668819,6.920587
27,SIA,8.760469,11.400204,14.383971,8.461844
28,OAA,6.800561,11.825921,7.026203,17.372795
28,OIA,8.146691,12.550569,7.594471,15.294565
28,SAA,6.800561,11.825921,3.387063,15.198582
28,SIA,8.146691,12.550569,5.16938,13.35183
29,OAA,6.08585,12.701807,11.476842,13.591417
29,OIA,3.886815,11.198491,14.89983,13.414206
29,SAA,6.08585,12.701807,14.468679,13.316424
29,SIA,3.886815,11.198491,15.677369,14.264432
30,OAA,8.346984,8.819503,9.912903,12.63768
30,OIA,9.072904,9.21313,9.88559,11.835493
30,SAA,8.346984,8.819503,7.414768,12.845951
30,SIA,9.072904,9.21313,7.462096,11.790917
31,OAA,8.866325,10.191166,9.513752,9.665938
31,OIA,12.33388,6.562832,4.63252,10.336408
31,SAA,8.866325,10.191166,8.663995,11.231605
31,SIA,12.33388,6.562832,4.798688,11.142817
32,OAA,6.443533,8.638694,10.082908,6.727935
32,OIA,8.255762,7.54587,7.81422,8.456417
32,SAA,6.443533,8.638694,7.414388,6.88774
32,SIA,8.255762,7.54587,6.590083,8.615363
33,OAA,3.345811,9.864975,11.367881,11.138028
33,OIA,2.779928,13.000542,9.46142,10.033251
33,SAA,3.345811,9.864975,4.80232,11.362017
33,SIA,2.779928,13.000542,5.348512,11.941666
34,OAA,8.388195,8.959153,9.371488,13.081306
34,OIA,9.488469,9.631715,7.576076,9.943561
34,SAA,8.388195,8.959153,4.851762,13.590192
34,SIA,9.488469,9.631715,4.454065,10.1783
35,OAA,5.978929,15.959947,9.49953,11.36105
35,OIA,8.189901,14.82998,6.871058,9.159046
35,SAA,5.978929,15.959947,7.453965,11.611086
35,SIA,8.189901,14.82998,9.880846,9.556671
36,OAA,4.197299,12.789001,16.008474,9.701837
36,OIA,6.736724,12.79623,16.488203,8.37578
36,SAA,4.197299,12.789001,17.187201,8.907548
36,SIA,6.736724,12.79623,11.936247,9.077521
