Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal
1,fullNP_OSV,21.938791,8.211789,11.108342
1,fullNP_OVS,21.941807,6.391877,11.748995
1,proNP_OSV,18.376353,8.346121,15.073823
1,proNP_OVS,21.071164,9.627102,15.614546
2,fullNP_OSV,21.257689,6.626466,15.545823
2,fullNP_OVS,25.878076,10.612064,12.640871
2,proNP_OSV,13.388903,4.920733,15.357585
2,proNP_OVS,20.40436,9.411135,12.412105
3,fullNP_OSV,27.861983,10.863095,16.497909
3,fullNP_OVS,30.587521,9.107511,17.558299
3,proNP_OSV,21.743324,12.017644,12.809437
3,proNP_OVS,25.863569,8.973454,13.558773
4,fullNP_OSV,16.462739,6.614665,14.445145
4,fullNP_OVS,20.981088,3.090697,12.781852
4,proNP_OSV,21.183952,9.725846,13.451878
4,proNP_OVS,25.352105,9.26295,12.713684
5,fullNP_OSV,28.773216,14.358515,11.722358
5,fullNP_OVS,21.940888,6.775429,13.41614
5,proNP_OSV,18.972718,8.738669,11.37726
5,proNP_OVS,21.973646,10.580035,8.892931
6,fullNP_OSV,22.031445,8.852785,4.614124
6,fullNP_OVS,22.818799,4.651832,5.257498
6,proNP_OSV,18.237872,8.612367,5.800871
6,proNP_OVS,21.850431,7.408987,6.507751
7,fullNP_OSV,25.675181,8.57876,14.479219
7,fullNP_OVS,27.922329,9.804484,15.716363
7,proNP_OSV,17.849505,6.357428,13.40149
7,proNP_OVS,23.830405,8.933763,13.265975
8,fullNP_OSV,29.145682,3.318134,12.138431
8,fullNP_OVS,28.288098,12.994766,15.612442
8,proNP_OSV,17.598889,6.334005,17.241157
8,proNP_OVS,19.364926,8.777431,17.67959
9,fullNP_OSV,31.776253,10.647066,11.583277
9,fullNP_OVS,25.705727,8.847536,10.784332
9,proNP_OSV,20.742262,8.650578,4.470916
9,proNP_OVS,22.688619,9.520069,4.376225
10,fullNP_OSV,23.138809,8.78328,19.086026
10,fullNP_OVS,26.115348,7.41837,20.887353
10,proNP_OSV,24.337349,13.866127,15.032072
10,proNP_OVS,27.665463,9.342471,13.921522
11,fullNP_OSV,19.259959,8.681642,10.929747
11,fullNP_OVS,16.061357,3.926195,9.462231
11,proNP_OSV,18.203564,7.613213,10.062766
11,proNP_OVS,21.606388,9.996601,9.696108
12,fullNP_OSV,16.934294,5.733144,7.716114
12,fullNP_OVS,16.295715,3.593214,7.556098
12,proNP_OSV,19.57362,8.29588,4.206791
12,proNP_OVS,20.200076,9.020867,4.781327
