Item,Type,Region1_Surprisal,Region2_Surprisal,Region3_Surprisal,Region4_Surprisal
1,OAA,13.213617,10.527263,14.537536,15.266669
1,OIA,13.351707,10.959213,16.242006,14.249135
1,SAA,13.213617,10.527263,15.738028,15.374865
1,SIA,13.351707,10.959213,17.2398,15.023555
2,OAA,11.618551,15.528165,11.725713,10.376645
2,OIA,10.753471,13.952907,11.917988,9.805428
2,SAA,11.618551,15.528165,13.079921,10.542393
2,SIA,10.753471,13.952907,13.313628,9.909488
3,OAA,8.030932,12.565891,10.687993,25.236951
3,OIA,7.561266,11.951762,10.128416,24.642454
3,SAA,8.030932,12.565891,11.463977,24.847238
3,SIA,7.561266,11.951762,11.306496,23.967672
4,OAA,14.427629,27.374275,13.595829,20.543197
4,OIA,13.274444,29.309371,13.735174,19.432941
4,SAA,14.427629,27.374275,13.359196,21.552154
4,SIA,13.274444,29.309371,14.07322,20.414486
5,OAA,19.453382,16.141103,11.414089,15.757172
5,OIA,19.740659,15.639498,11.095883,15.542757
5,SAA,19.453382,16.141103,12.205091,15.706926
5,SIA,19.740659,15.639498,11.817063,15.428264
6,OAA,13.164997,26.65309,15.88313,23.330342
6,OIA,14.401153,27.827597,14.86248,22.276264
6,SAA,13.164997,26.65309,16.281494,24.119494
6,SIA,14.401153,27.827597,15.704594,22.720648
7,OAA,14.940833,11.079299,12.550262,19.271963
7,OIA,15.822739,11.19435,11.168647,18.108614
7,SAA,14.940833,11.079299,10.030165,19.602147
7,SIA,15.822739,11.19435,10.20034,19.598127
8,OAA,14.043859,15.847868,13.206604,10.023234
8,OIA,12.400219,15.418529,14.579599,9.26414
8,SAA,14.043859,15.847868,13.389526,10.008742
8,SIA,12.400219,15.418529,14.584691,9.278955
9,OAA,17.869944,15.346454,14.357395,19.121282
9,OIA,14.788984,16.116836,13.964804,18.513853
9,SAA,17.869944,15.346454,15.291559,19.062171
9,SIA,14.788984,16.116836,15.096772,18.21904
10,OAA,18.007463,16.011492,19.490097,18.276169
10,OIA,15.555204,13.743542,21.138071,17.440103
10,SAA,18.007463,16.011492,21.783358,18.519392
10,SIA,15.555204,13.743542,23.36481,17.680735
11,OAA,12.532484,17.599016,10.541316,12.864379
11,OIA,11.326947,16.853955,11.602464,12.677106
11,SAA,12.532484,17.599016,9.781274,12.880056
11,SIA,11.326947,16.853955,11.042403,12.565601
12,OAA,19.654177,12.267113,13.952882,17.437838
12,OIA,16.941154,12.343116,13.865478,17.229782
12,SAA,19.654177,12.267113,14.368022,17.400258
12,SIA,16.941154,12.343116,14.094973,17.432669
13,OAA,18.51995,12.380901,15.793334,16.692673
13,OIA,16.589127,10.2964,14.30606,15.528045
13,SAA,18.51995,12.380901,18.57138,16.973748
13,SIA,16.589127,10.2964,16.310809,15.538217
14,OAA,22.998311,10.830378,21.694745,23.271055
14,OIA,21.588687,11.291022,23.611554,24.778178
14,SAA,22.998311,10.830378,22.899524,23.284302
14,SIA,21.588687,11.291022,25.729871,24.942237
15,OAA,13.324492,17.680259,15.517176,17.585405
15,OIA,12.440285,17.785726,14.737677,15.390257
15,SAA,13.324492,17.680259,18.089489,17.644607
15,SIA,12.440285,17.785726,17.148719,15.459715
16,OAA,7.789592,20.546089,12.419593,11.248022
16,OIA,8.444017,16.371731,12.402251,11.531918
16,SAA,7.789592,20.546089,12.648614,10.997706
16,SIA,8.444017,16.371731,12.378919,11.360268
17,OAA,14.834321,26.898925,10.887414,22.558799
17,OIA,18.514981,27.393288,11.059219,22.422872
17,SAA,14.834321,26.898925,11.156892,22.693042
17,SIA,18.514981,27.393288,12.431793,22.705587
18,OAA,20.005063,12.767695,20.005061,11.577438
18,OIA,18.416926,12.303433,20.465048,11.200438
18,SAA,20.005063,12.767695,21.733331,11.578013
18,SIA,18.416926,12.303433,21.936344,11.191331
19,OAA,16.94096,18.096919,12.120829,24.865121
19,OIA,14.491859,15.54708,12.235452,22.768347
19,SAA,16.94096,18.096919,11.329578,24.615623
19,SIA,14.491859,15.54708,12.983174,22.888529
20,OAA,17.010888,17.252234,21.296696,14.740745
20,OIA,16.946882,18.771855,18.192453,14.030133
